"Date","Pilote","Nom du quadcoptère","Temps de vol (s)","Météo","Endroit","Notes"
"2020-07-10 07:49:39","Tamara Salinas","fringilla","5718","nulla. Cras eu tellus eu augue porttitor interdum. Sed auctor","sagittis",""
"2021-03-13 11:30:00","Oprah Roy","nisi.","4531","tellus sem mollis dui, in sodales elit erat vitae risus.","et",""
"2020-08-11 03:21:19","Zoe Baird","egestas","5757","ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem","nulla.",""
"2020-09-26 20:49:11","Ryan Quinn","mi","2303","orci. Ut sagittis lobortis mauris. Suspendisse aliquet","ut",""
"2020-09-16 14:33:22","Stacey Lynch","nec","3500","pede nec ante blandit viverra. Donec tempus, lorem","eleifend.",""
"2021-01-08 16:07:21","Nigel Dudley","Vivamus","767","Duis gravida. Praesent eu nulla at sem","velit.",""
"2020-03-20 13:23:02","Elvis Montoya","lorem","866","cursus et, eros. Proin ultrices. Duis volutpat nunc","enim",""
"2021-05-24 14:56:34","Deirdre Gardner","lectus","6833","eget metus.","faucibus",""
"2021-10-15 10:01:52","Gage Dawson","Fusce","3315","eu augue porttitor interdum. Sed","neque",""
"2021-12-10 23:50:31","Linda Schneider","et,","3084","nibh vulputate mauris sagittis placerat.","lacinia",""
"2020-03-30 22:30:36","Bert Cooley","pretium","4395","velit.","at",""
"2020-10-08 15:07:11","Walker Hopper","dapibus","5604","ante bibendum ullamcorper. Duis cursus, diam at pretium aliquet, metus","mollis",""
"2020-07-19 18:58:11","Nigel Dudley","Vivamus","6620","dictum cursus. Nunc mauris elit, dictum eu,","velit.",""
"2021-04-16 04:07:43","Dorothy Hurley","lectus","1622","nisl. Nulla eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus.","vulputate",""
"2020-07-14 23:09:04","Briar Welch","diam.","6452","tortor at","montes,",""
"2020-05-26 05:18:41","Sybil Vaughn","enim.","4682","vulputate velit eu sem. Pellentesque ut ipsum","a,",""
"2020-05-05 08:36:23","Ryder Justice","neque","2465","enim. Nunc ut erat. Sed nunc est, mollis","mauris",""
"2021-02-12 17:08:24","Yeo Castro","lorem,","1602","tellus. Phasellus elit pede, malesuada","tempor",""
"2020-12-17 16:28:19","Wylie Sherman","eget","6448","non nisi. Aenean eget metus. In nec orci.","ante.",""
"2020-08-29 10:55:09","Jocelyn Sims","tempor","1738","lacus. Aliquam","eget,",""
"2021-07-03 21:37:12","Mufutau Smith","ultrices","5135","dignissim pharetra. Nam ac nulla. In tincidunt","Ut",""
"2021-02-06 06:47:15","Nigel Dudley","Vivamus","3544","semper. Nam tempor diam dictum sapien. Aenean massa.","velit.",""
"2021-07-23 21:48:19","Sloane Mullins","sapien.","1413","ac,","quam",""
"2021-03-10 19:29:03","Roth Craig","ac","1801","conubia nostra, per inceptos hymenaeos. Mauris ut quam","nec",""
"2021-02-23 10:02:27","Tamara Cherry","Nunc","1693","a","erat",""
"2020-02-08 04:40:12","Constance Fox","iaculis","2343","massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor","dolor.",""
"2020-06-21 03:11:45","Mercedes Sharpe","arcu.","5488","dui. Cum sociis natoque penatibus et magnis","lacinia",""
"2020-04-13 12:26:47","Ryan Quinn","mi","5346","Nunc quis arcu vel quam dignissim","ut",""
"2021-01-01 16:52:21","Alika Kinney","semper","1242","eleifend","libero.",""
"2021-05-13 15:25:54","Karen Norman","egestas.","5136","Fusce aliquet magna a neque. Nullam ut nisi a odio","nisi.",""
"2020-06-16 12:42:26","Silas Diaz","hendrerit","3291","pharetra. Nam ac nulla. In tincidunt congue","Aliquam",""
"2021-07-06 23:52:41","Alisa Moody","mattis.","1788","sed dui. Fusce aliquam, enim nec","Vivamus",""
"2020-07-11 04:02:56","Igor Lindsey","dolor","6407","lectus pede, ultrices a, auctor non, feugiat","Etiam",""
"2021-12-23 15:05:12","Elvis Hickman","Maecenas","712","vel","consequat",""
"2021-03-09 12:29:51","Justin Warner","Cum","7084","enim. Etiam imperdiet dictum","Class",""
"2021-05-13 23:15:54","Shellie Pacheco","amet","2353","magna. Suspendisse tristique","hendrerit.",""
"2021-03-06 19:56:03","Maris Marsh","faucibus.","3428","eu tellus eu augue porttitor interdum. Sed auctor","ipsum.",""
"2020-03-02 03:41:20","Anjolie Calhoun","lectus","2163","nec","Nunc",""
"2020-04-21 08:09:22","Roth Craig","ac","5169","sed orci lobortis augue scelerisque","nec",""
"2021-05-08 17:12:27","Justin Warner","Cum","89","mauris. Integer sem elit, pharetra ut, pharetra sed, hendrerit","Class",""
"2020-06-26 17:43:30","Baxter Wagner","ligula.","3127","gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat.","semper",""
"2021-10-18 22:07:21","Rooney Sears","lacus.","2741","est. Nunc laoreet lectus","tortor,",""
"2020-11-25 22:18:46","Chava Kidd","Nunc","6398","fames ac turpis egestas.","Ut",""
"2020-02-23 07:23:56","Malcolm Wells","ut","4099","nulla ante, iaculis","laoreet",""
"2020-10-15 10:56:57","Mufutau Smith","ultrices","261","In at pede.","Ut",""
"2021-08-20 19:57:50","Deirdre Gardner","lectus","6085","urna convallis erat, eget tincidunt dui","faucibus",""
"2022-01-31 04:58:11","Miriam Mathews","accumsan","199","Sed congue, elit sed consequat auctor, nunc nulla vulputate dui,","lacus.",""
"2021-12-24 10:26:21","Yeo Castro","lorem,","4642","felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam","tempor",""
"2020-11-15 02:15:42","Kelly Suarez","habitant","4360","sagittis placerat. Cras dictum ultricies ligula. Nullam","mi",""
"2020-11-10 20:23:03","Dorothy Hurley","lectus","2080","ac orci. Ut semper pretium neque. Morbi quis urna.","Vivamus",""
"2021-05-04 21:27:09","Malcolm Wells","ut","7120","dolor elit, pellentesque","laoreet",""
"2021-08-16 18:39:46","Gage Dawson","Fusce","7011","mauris, rhoncus id, mollis","neque",""
"2020-08-29 06:53:00","Oprah Roy","nisi.","6055","non, vestibulum nec, euismod in,","et",""
"2021-04-24 14:38:53","Leroy Moon","convallis","5229","est. Nunc","diam",""
"2020-07-29 13:34:52","Igor Lindsey","dolor","3734","Aenean massa. Integer vitae","Etiam",""
"2022-01-22 20:53:37","Zoe Baird","egestas","2998","sed, hendrerit a, arcu. Sed et libero. Proin mi.","nulla.",""
"2021-12-07 20:17:17","Abel Mclaughlin","consequat","4413","pharetra. Quisque ac libero","orci.",""
"2020-07-10 21:45:05","Aurelia Gaines","mauris","615","Nullam vitae diam. Proin dolor. Nulla semper tellus id","aliquam",""
"2020-09-22 20:09:47","Allistair Browning","Aliquam","1194","dui. Fusce diam nunc, ullamcorper eu, euismod ac,","quis",""
"2020-10-11 21:26:00","Kelly Suarez","habitant","5118","dictum eu, eleifend nec,","mi",""
"2021-07-28 01:41:38","Roth Craig","ac","3347","venenatis vel,","mi",""
"2020-07-27 06:51:06","Malcolm Baldwin","Quisque","2250","Proin sed turpis nec","elit,",""
"2021-03-18 08:35:01","Walker Hopper","dapibus","3335","Cras dolor dolor, tempus non, lacinia at, iaculis quis, pede.","mollis",""
"2021-07-26 19:10:30","Oprah Roy","nisi.","3405","fermentum","et",""
"2021-04-10 12:33:46","Malcolm Baldwin","Quisque","4403","eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit","elit,",""
"2021-06-28 21:47:15","Paloma Vargas","aliquam","2214","penatibus","nascetur",""
"2020-07-05 06:21:17","Wylie Sherman","eget","3202","enim, sit amet ornare lectus justo eu","ante.",""
"2021-04-19 11:48:58","Kelly Suarez","habitant","1446","Donec dignissim magna","mi",""
"2021-12-29 22:35:53","Ryan Quinn","mi","4292","nonummy","ut",""
"2022-02-01 03:52:42","Oprah Roy","nisi.","4456","justo. Proin non massa non ante","et",""
"2020-02-05 02:22:38","Eric Stevens","cursus","5961","augue id ante","magna.",""
"2020-02-18 14:30:29","Stacey Lynch","nec","2659","Sed","eleifend.",""
"2021-06-19 20:03:32","Ryder Justice","neque","2599","Sed pharetra, felis eget varius ultrices, mauris","mauris",""
"2020-08-12 05:48:16","Delilah Bright","sit","6073","eu elit. Nulla facilisi. Sed neque.","odio.",""
"2020-04-29 19:58:33","Sylvia Clarke","magna","3003","non","eu",""
"2021-02-19 13:49:06","Malcolm Wells","ut","3560","faucibus. Morbi vehicula. Pellentesque tincidunt tempus","laoreet",""
"2021-12-22 12:46:38","Mercedes Sharpe","arcu.","3320","egestas a, dui. Cras pellentesque.","viverra.",""
"2021-04-23 20:35:59","Jolie Vazquez","Mauris","448","In mi pede,","aliquet.",""
"2021-10-10 23:15:37","Tamara Salinas","fringilla","4404","arcu. Vestibulum ut eros non enim commodo hendrerit.","sagittis",""
"2020-07-09 10:36:37","Kelly Suarez","habitant","5429","scelerisque sed, sapien. Nunc","sagittis",""
"2020-07-25 07:19:44","Sonia Durham","turpis","6114","quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed","Quisque",""
"2020-04-21 11:25:33","Linda Schneider","et,","6190","dolor sit amet, consectetuer adipiscing elit. Aliquam","lacinia",""
"2021-09-13 04:20:26","Anjolie Calhoun","lectus","1614","sed, sapien. Nunc pulvinar arcu et pede. Nunc sed orci","Nunc",""
"2020-06-14 13:11:27","Stacey Lynch","nec","4918","risus varius orci, in consequat enim","Fusce",""
"2021-10-09 08:09:42","Jocelyn Sims","tempor","6902","a neque. Nullam ut nisi a odio","eget,",""
"2021-11-01 02:12:27","Constance Fox","iaculis","3773","mauris sit","dolor.",""
"2020-08-30 19:12:16","Ryan Quinn","mi","1748","vitae, orci. Phasellus dapibus","ut",""
"2020-12-19 13:31:40","Paloma Vargas","aliquam","3026","erat vel","nascetur",""
"2021-05-16 01:59:37","Nigel Dudley","Vivamus","4373","malesuada vel,","velit.",""
"2021-01-31 09:31:24","Sybil Vaughn","enim.","6996","Nulla semper tellus","a,",""
"2020-10-08 21:40:19","Sonia Park","neque.","3772","orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce","sem",""
"2021-05-23 14:56:14","Gregory Lindsey","ornare.","1740","eu nulla at sem molestie sodales. Mauris blandit enim consequat","nisl",""
"2021-10-26 19:14:35","Jasper Mcleod","ultrices","175","vitae purus gravida sagittis. Duis gravida.","arcu.",""
"2022-01-04 21:05:13","Sylvia Clarke","magna","3065","mauris, rhoncus id, mollis nec, cursus","gravida",""
"2020-07-30 11:38:56","Tamara Cherry","Nunc","3336","consectetuer","erat",""
"2022-01-05 03:33:05","Justin Warner","Cum","5748","semper","Class",""
"2021-02-19 08:58:01","Priscilla Fields","ipsum","2355","rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis,","dui",""
"2021-02-10 05:18:05","Roth Craig","ac","893","neque sed sem egestas blandit. Nam nulla magna, malesuada","mi",""
"2020-05-24 09:47:40","Gregory Lindsey","ornare.","5908","sem eget massa. Suspendisse eleifend. Cras sed leo. Cras","nisl",""
"2021-05-01 09:46:18","Nigel Dudley","Vivamus","1386","Vivamus nibh dolor, nonummy","velit.",""
